"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"DM01";"DM01_07";"DM01_08";"DM02_01";"DM05";"DM06";"DM06_01";"DM06_02";"DM06_03";"DM06_04";"DM06_05";"DM06_06";"DM06_07";"DM06_08";"DM06_09";"DM06_10";"DM06_11";"DM06_11a";"DM07";"DM07_01";"DM07_02";"DM07_03";"DM07_04";"DM07_05";"O101_01";"O101_02";"O101_12";"O101_03";"O101_04";"O101_16";"O101_05";"O101_15";"O101_06";"O101_07";"O101_08";"O101_17";"O102_01";"O102_02";"O103_01";"O103_02";"O103_03";"O103_04";"O103_05";"O103_06";"S101";"S101_01";"S101_02";"S101_03";"S101_04";"S101_06";"S101_06a";"S103";"S110";"S104";"S104_01";"S104_02";"S104_03";"S104_04";"S104_05";"S104_07";"S104_08";"S104_09";"S104_09a";"S105";"S105_01";"S105_02";"S105_03";"S105_04";"S105_04a";"S111";"S111s";"S106";"S106_01";"S106_02";"S106_03";"S106_04";"S106_05";"S106_06";"S112";"S112_01";"S112_02";"S112_03";"S112_04";"S112_05";"S112_06";"S112_07";"S112_08";"S112_08a";"S113";"S201_02";"S201_03";"S201_04";"S201_06";"S201_09";"S201_01";"S201_10";"S202";"S203";"S203_01";"S203_02";"S203_03";"S203_04";"S203_08";"S203_07";"S203_05";"S203_06";"S203_06a";"S204_01";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
82;;;"base";"interview";2021-02-02 10:39:41;4;;;"8";2;3;2;1;2;1;1;1;1;1;2;1;1;;;;;;;;2;2;3;3;1;2;3;2;3;2;3;4;2;2;4;3;3;1;3;1;3;1;2;2;2;1;;4;-1;4;2;1;2;2;1;2;1;1;;1;1;2;1;1;;-1;;3;1;1;1;2;2;2;-2;1;1;1;1;1;1;1;1;;3;2;3;2;2;3;3;3;3;2;1;1;2;2;1;1;1;1;;"Peace and Love.";271;56;15;24;27;56;195;;2021-02-02 10:47:10;1;0;6;6;0;0;2.01;125
84;;;"base";"interview";2021-02-02 10:51:22;2;;;"2";3;3;1;1;1;1;1;1;1;2;2;2;1;;;;;;;;-1;-1;-1;-1;-1;3;3;2;3;2;2;2;2;2;1;2;1;1;2;3;-1;1;1;1;1;1;;3;-2;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-1;;-1;1;1;1;1;1;1;-2;1;1;1;1;1;1;1;1;;1;-1;-1;-1;-1;-1;-1;-1;2;-2;1;1;1;1;1;1;1;1;;"nothing";4;8;2;13;27;10;64;;2021-02-02 10:52:26;1;0;6;6;0;0;3;390
89;;;"base";"interview";2021-02-02 11:00:31;6;;;"3";3;1;1;1;1;1;1;2;1;1;1;1;1;;;;;;;;3;1;-1;-1;1;4;1;-1;4;2;1;4;2;2;-1;-1;-1;-1;-1;-1;1;1;1;1;2;1;;-1;-1;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-2;"none";1;1;2;1;1;1;1;-2;1;1;1;1;1;1;1;1;;-1;-1;-1;-1;-1;5;-1;-1;4;1;1;1;1;1;1;1;1;2;"I don't write code";;639;26;2;99;57;70;271;;2021-02-02 11:15:25;1;0;6;6;2;2;2.13;131
91;;;"base";"interview";2021-02-02 11:16:54;2;;;"6";1;1;2;1;1;1;1;1;1;1;1;1;1;;;;;;;;2;3;3;2;3;2;2;3;3;3;3;1;1;2;3;4;5;3;4;3;1;1;1;2;1;1;;2;2;2;1;1;1;2;1;1;2;1;;3;2;2;2;1;;-1;;1;1;1;1;1;1;2;-1;1;1;1;1;1;1;1;1;;5;6;5;4;5;5;4;4;4;2;2;1;1;1;1;1;2;1;;"Your mama";32;82;11;242;101;134;602;;2021-02-02 11:26:56;1;0;6;6;0;0;1.31;22
92;;;"base";"interview";2021-02-02 11:17:01;1;;;"20";2;1;2;1;1;1;1;1;1;1;1;1;1;;;;;;;;4;1;1;4;4;4;4;-1;-1;4;4;4;2;1;4;3;3;4;2;4;3;2;2;1;2;1;;2;2;2;1;1;1;1;2;1;2;1;;1;2;1;1;1;;-2;"none";1;1;1;1;1;1;2;2;1;2;1;1;2;1;1;1;;3;6;1;5;3;-1;3;5;3;-1;1;1;1;1;1;1;1;1;;;2;13;2;223;54;43;337;;2021-02-02 11:22:38;1;0;6;6;2;2;2.64;222
93;;;"base";"interview";2021-02-02 11:23:12;5;;;"30";2;2;1;1;1;2;1;1;1;1;2;1;1;;;;;;;;3;3;2;4;2;4;4;4;1;3;3;4;1;1;4;3;3;2;2;3;1;1;2;1;1;1;;1;-2;-1;1;1;1;1;1;1;1;1;;1;2;1;1;1;;-1;;2;1;1;1;2;1;2;-1;1;1;1;1;1;1;1;1;;4;6;3;5;4;1;6;6;4;3;1;1;1;1;2;2;2;1;;"blABLABA";2;19;2;74;57;43;197;;2021-02-02 11:26:29;1;0;6;6;0;0;2.91;218
96;;;"base";"interview";2021-02-02 11:38:10;6;;;"0";5;2;1;1;1;1;2;2;1;1;1;1;1;;;;;;;;3;3;1;3;4;4;3;3;2;3;3;4;2;1;1;2;2;3;1;1;-1;1;1;1;1;1;;3;2;-1;1;1;1;1;1;1;1;1;;3;2;2;2;1;;-1;;6;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;;-1;3;4;4;4;3;4;4;3;2;1;1;1;2;1;2;1;1;;"Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.";5;12;9;19;25;26;96;;2021-02-02 11:39:46;1;0;6;6;0;0;3;243
114;;;"base";"interview";2021-02-02 11:49:41;3;;;"5";2;3;1;1;1;2;1;1;2;2;1;1;1;;;;;;;;2;2;3;2;2;2;3;3;3;3;3;2;2;2;5;4;4;4;4;4;2;1;2;2;1;1;;4;4;2;1;1;1;2;1;2;1;1;;2;1;2;2;1;;-2;"hfvjhgjh";2;2;1;2;1;1;1;2;1;1;1;2;1;2;1;1;;4;4;5;4;3;4;6;6;2;2;1;1;1;2;2;1;1;1;;"Beauty and the Beer";59;10;13;13;26;19;140;;2021-02-02 11:52:01;1;0;6;6;0;0;2.46;250
115;;;"base";"interview";2021-02-02 12:12:21;3;;;"10";4;1;1;1;1;1;1;1;1;1;2;1;1;;;;;;;;2;3;3;2;4;1;3;4;2;4;4;1;2;1;5;5;3;4;4;1;1;1;1;2;1;1;;3;2;5;2;2;2;2;2;1;1;1;;1;1;2;1;1;;-2;"GPL";4;1;2;1;2;2;2;1;1;1;1;2;1;1;1;1;;5;6;4;6;3;6;6;5;1;2;2;1;2;1;1;1;1;1;;;2;27;1;83;44;32;189;;2021-02-02 12:15:30;1;0;6;6;2;2;2.83;223
116;;;"base";"interview";2021-02-04 10:26:10;2;;;"5";2;2;2;1;1;1;1;2;1;1;1;1;1;;;;;;;;1;1;1;1;1;1;2;3;4;2;2;-1;2;2;4;-1;5;5;4;3;1;1;2;1;1;1;;1;1;-1;1;1;1;1;1;1;1;1;;1;1;1;1;2;"Pycharm";-1;;2;1;2;1;1;1;2;-2;1;1;1;1;1;1;1;1;;-1;-1;-1;6;-1;-1;6;6;4;3;2;2;1;1;1;1;2;1;;;3;20;2;49;62;36;172;;2021-02-04 10:29:02;1;0;6;6;2;2;2.95;207
118;;;"base";"interview";2021-02-05 08:13:45;5;;;"20";1;1;1;1;1;1;1;1;1;2;1;1;1;;;;;;;;3;2;1;4;2;3;4;3;2;3;3;3;2;1;3;2;4;3;2;-1;1;2;1;1;1;1;;4;-2;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-1;;1;1;1;1;1;1;2;-2;1;1;1;1;1;1;1;1;;5;6;1;4;3;1;2;5;3;2;1;1;1;1;2;2;1;1;;;18;921;2;64;40;29;227;;2021-02-05 08:31:39;1;0;6;6;2;2;2.15;159
171;;;"base";"interview";2021-03-01 13:42:45;3;;;"7";5;3;2;1;1;1;2;1;2;1;1;1;1;;2;2;1;2;1;1;2;6;3;5;5;3;4;3;2;5;5;1;1;2;4;4;2;5;3;1;4;2;2;2;2;1;;1;2;1;1;1;1;1;2;1;1;1;;1;2;1;1;1;;-2;"none";3;1;2;2;1;2;1;3;1;1;1;2;1;2;2;1;;3;5;5;4;5;4;5;5;4;1;1;1;1;1;1;1;2;1;;"Share not only model, but when using application: (1) Share the input and settings you have used to run the model. Share (if possible) the dataset that you have used to compare the simulation results with (when comparing simulations with real data). ";20;95;509;199;700;247;762;;2021-03-01 14:12:15;1;0;6;6;0;0;0.57;0
180;;;"base";"interview";2021-03-01 13:53:38;3;;;"10";7;3;2;1;1;1;2;1;1;1;1;2;1;;2;2;1;2;1;1;2;5;5;5;5;2;-1;-1;-1;5;4;-1;2;2;-1;-1;-1;5;5;-1;1;1;1;1;2;1;;2;4;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-1;;2;1;1;2;1;1;2;-2;1;1;1;1;1;1;1;1;;3;6;5;5;6;1;5;6;3;1;1;1;1;1;1;1;2;1;;"Most data are already provided within the most publications. So why not using a software tool during the submission to check reproducibility of results based on the code and the data, ";28;69;45;473;280;273;879;;2021-03-01 14:13:06;1;0;6;6;0;0;0.65;1
185;;;"base";"interview";2021-03-01 14:01:32;2;;;"3";1;2;2;1;1;1;1;1;1;2;1;1;1;;2;1;2;2;1;1;4;5;4;5;5;5;5;3;3;5;5;4;2;2;3;3;5;3;2;2;2;2;1;2;1;1;;1;2;1;1;1;1;2;1;1;1;1;;1;2;1;1;1;;-2;"MIT";4;2;1;2;1;2;2;2;1;1;1;1;2;1;2;1;;4;5;3;4;4;-1;5;5;3;-1;1;1;1;1;1;1;1;1;;"Foster putting codes publicly available (e;g. through github)";4;49;50;118;108;159;488;;2021-03-01 14:09:40;1;0;6;6;0;0;1.53;41
187;;;"base";"interview";2021-03-01 14:02:20;2;;;"6";4;1;2;1;1;1;1;1;1;1;1;1;1;;2;2;1;2;1;1;5;1;2;6;6;2;6;3;1;6;6;4;2;2;5;2;1;5;6;2;1;1;1;1;2;1;;1;2;1;1;1;1;2;1;1;1;1;;1;2;1;1;1;;-1;;2;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;;3;5;4;5;2;4;6;6;1;1;1;1;1;1;1;1;2;1;;"Publish data alongside research papers. With the documentation contained within the paper, the results should be reproducible.";61;128;121;256;272;381;1130;;2021-03-01 14:22:39;1;0;6;6;0;0;0.47;0
188;;;"base";"interview";2021-03-01 14:05:14;5;;;"12";5;3;2;1;1;2;1;1;1;1;2;1;1;;2;2;1;2;1;1;3;4;5;5;4;4;2;6;5;2;2;3;1;1;2;3;5;6;6;5;2;1;1;1;2;2;"Matlab";3;5;-1;1;1;1;1;1;1;1;1;;1;2;1;1;1;;-2;"Creative Commons";1;1;1;1;1;1;2;3;1;1;1;2;1;2;2;1;;4;5;3;4;2;3;2;2;4;2;1;1;1;1;2;1;2;1;;"We need people who can help to improve reproducibility, as many researchers with a focus on analytics and conceptualization are not familiar with coding and licenses. Still those researchers have great ideas that should not be ranked lower just because those people are not familiar with this new, necessary movement";189;62;22;3686;122;153;560;;2021-03-01 15:15:48;1;0;6;6;0;0;0.85;9
192;;;"base";"interview";2021-03-01 14:14:37;4;;;"14";5;2;2;1;1;1;2;1;1;1;1;1;1;;2;2;2;1;1;1;2;6;4;5;6;2;5;4;3;6;4;1;1;1;4;5;4;5;6;3;1;1;1;2;1;1;;1;2;2;1;1;1;1;2;1;2;1;;2;2;2;1;1;;-2;"GPL";2;1;1;2;1;1;2;2;1;1;1;2;2;1;1;1;;2;5;6;5;4;3;2;3;1;-1;1;1;1;1;1;1;1;1;;"Publication of code and (exemplary, applied) data with the manuscript as a standard ? but also acknowledging the extra efforts required for this.
Teaching reproducibility (with respect to software, data and measurements) in environmental sciences.
Universities should provide service entities which guide, support and review scientific software development to avoid the autodidact diversity of styles and mistakes.";8;82;43;189;225;330;877;;2021-03-01 14:29:14;1;0;6;6;0;0;0.99;9
195;;;"base";"interview";2021-03-01 14:24:24;2;;;"6";5;1;2;1;1;1;1;1;1;1;1;1;1;;1;1;2;1;1;1;3;3;-1;4;5;4;2;5;6;5;4;2;2;1;5;3;4;5;3;4;3;1;1;2;2;2;"MATLAB";2;5;-1;1;1;1;1;1;1;1;1;;1;2;1;1;1;;-2;"GPL";1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;;3;5;-1;-1;-1;4;4;4;4;2;1;1;2;1;1;1;2;1;;"provide better material to learn about reproducibility and it's benefits, standardize the teaching of coding skills and their ""best practices"" in MSc or at the latest PhD programms, allocate TIME (and thus money) for making work reproducible";37;103;50;236;242;438;1106;;2021-03-01 14:42:50;1;0;6;6;0;0;0.6;0
196;;;"base";"interview";2021-03-01 14:27:37;3;;;"5";2;1;1;1;1;1;1;1;1;2;1;1;1;;1;1;1;2;1;1;5;2;2;5;5;4;5;1;2;6;5;4;2;2;5;5;4;4;1;5;1;1;1;1;1;2;"NCL";1;2;1;1;1;2;1;1;1;1;1;;-1;1;1;1;1;;-1;;3;1;2;2;1;1;2;-2;1;1;1;1;1;1;1;1;;2;3;2;2;3;3;4;4;4;4;2;2;1;1;1;1;2;2;"I publish my code in out institutions library network, which can be freely accessed, but I'm not sure if this qualifies per se open source.";"In the climate community this is not very easily addressed. Reproducing the output of global climate models would be absurdly time and resource consuming. Reproducing the paper figures based on the author's code and data used is doable, but is it complete reproducibility?";5;59;17;154;154;187;576;;2021-03-01 14:37:14;1;0;6;6;0;0;1.53;32
198;;;"base";"interview";2021-03-01 14:33:19;2;;;"2";4;3;1;1;1;2;1;1;2;1;2;1;1;;2;2;1;2;1;1;2;5;5;3;4;4;3;4;5;4;4;1;2;2;6;5;-1;5;5;5;1;1;1;1;2;1;;2;3;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-1;;3;1;2;2;1;1;2;1;1;1;1;2;1;1;1;1;;1;2;3;4;4;-1;5;5;1;1;2;1;1;1;1;1;1;1;;"A more detailed description in the paper and a share option for code";5;186;40;9791;178;228;709;;2021-03-01 17:27:07;1;0;6;6;0;0;0.97;20
203;;;"base";"interview";2021-03-01 15:08:18;3;;;"7";4;2;2;1;1;1;1;1;1;1;2;1;1;;1;1;1;2;1;1;4;3;-1;4;5;5;2;4;2;3;3;2;2;2;2;5;4;4;5;2;1;1;1;1;2;1;;1;5;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-2;"none";3;1;2;2;1;1;2;-1;1;1;1;1;1;1;1;1;;4;3;5;5;4;4;4;4;3;-3;1;1;1;1;1;1;1;1;;"share code and data with others, stronger collaborative efforts rather than competitive mindest, 
reduce the amount of code developing by individual working groups and rely more on available codes and community efforts for code development for similar questions and applications.";820;198;49;312;232;624;828;;2021-03-01 15:45:34;1;0;6;6;0;0;0.43;0
205;;;"base";"interview";2021-03-01 15:18:18;3;;;"12";1;1;2;1;1;1;1;1;1;1;1;1;1;;1;1;2;1;1;1;1;3;4;2;5;5;1;6;6;5;4;2;2;2;5;5;5;5;5;4;1;1;2;1;1;1;;1;2;2;1;1;1;2;2;1;1;1;;2;2;2;1;1;;-2;"none";2;1;1;1;2;1;2;-1;1;1;1;1;1;1;1;1;;4;6;4;5;4;4;5;5;4;4;2;2;1;1;2;1;2;1;;"develop slowly an obligation to improve reproducibility";26;61;62;262;164;154;729;;2021-03-01 15:30:27;1;0;6;6;0;0;0.84;2
208;;;"base";"interview";2021-03-01 16:09:34;5;;;"10";1;3;1;2;1;1;2;1;1;2;1;1;1;;4;2;2;2;2;1;6;6;6;6;6;5;5;5;5;5;5;5;1;1;6;6;6;6;5;5;2;2;1;2;1;1;;1;2;2;2;1;1;2;1;1;1;1;;2;1;2;2;1;;-1;;2;2;1;2;1;1;1;2;2;1;1;2;1;1;1;1;;5;5;5;6;5;6;6;6;1;2;2;1;1;1;2;1;1;1;;"nothing";9;19;3;16;222;18;287;;2021-03-01 16:14:21;1;0;6;6;0;0;2.44;254
217;;;"base";"interview";2021-03-01 22:01:25;2;;;"4";1;2;1;1;1;1;1;1;1;2;1;2;1;;1;1;1;2;1;1;5;5;4;6;5;4;5;1;-1;6;6;2;2;1;5;4;2;5;5;-1;1;1;1;2;1;1;;1;2;6;2;1;2;2;2;2;2;1;;3;2;2;2;1;;-2;"MIT";1;1;1;1;1;1;2;-1;1;1;1;1;1;1;1;1;;2;6;5;5;5;5;5;5;4;-1;1;1;1;1;1;1;1;1;;"Journals should enforce FAIR not just get everyone away with it";3;50;32;160;111;83;439;;2021-03-01 22:08:44;1;0;6;6;0;0;1.65;55
218;;;"base";"interview";2021-03-01 22:54:20;2;;;"2";4;1;2;1;1;1;1;1;1;1;1;1;1;;2;2;1;1;1;2;1;6;1;2;2;5;2;4;4;3;3;5;1;2;4;4;6;5;5;5;1;1;1;2;1;1;;4;5;-1;1;1;1;1;1;1;1;1;;1;1;2;1;1;;-1;;1;1;1;2;1;1;1;-1;1;1;1;1;1;1;1;1;;3;3;3;3;3;3;3;3;1;-1;1;1;1;1;1;1;1;1;;"The emphasis of reproducibility and novelty is killing sciences in the developing world, especially in over-exploited complex GW systems. ";4;56;11;165;169;144;549;;2021-03-01 23:03:29;1;0;6;6;0;0;1.72;47
219;;;"base";"interview";2021-03-02 07:16:42;1;;;"3";1;2;2;1;1;1;1;1;1;1;1;2;1;;2;1;2;2;1;1;4;2;2;5;4;5;3;6;6;5;5;5;1;1;6;6;3;5;6;4;3;1;2;2;2;1;;1;4;3;1;2;2;2;1;1;1;1;;2;2;2;1;1;;-1;;2;1;1;1;1;2;2;2;2;1;1;1;1;2;1;1;;4;6;6;6;5;6;4;5;2;1;2;1;1;1;1;1;1;1;;"Shadow or Pair computing could be made the norm.

Submitting for publications and working on open source codes could be made the norms by the editors.";8;46;8;145;108;275;590;;2021-03-02 07:26:33;1;0;6;6;0;0;1.68;46
222;;;"base";"interview";2021-03-02 08:54:30;2;;;"5";1;3;2;1;1;1;1;1;2;1;1;2;1;;1;1;2;1;1;1;4;4;3;5;5;3;5;2;2;5;4;2;1;1;3;2;6;1;1;2;2;2;1;2;1;1;;1;1;3;2;1;1;2;2;1;1;1;;1;2;1;1;1;;-2;"CECILL-C Licence (a French equivalent to the L-GPL licence)";2;1;1;2;1;1;2;2;1;1;1;2;1;1;2;1;;4;1;5;4;4;3;4;4;3;-1;1;1;1;1;1;1;1;1;;"Increase human resources dedicated to it";7;75;36;181;297;133;729;;2021-03-02 09:06:39;1;0;6;6;0;0;1.16;13
223;;;"base";"interview";2021-03-02 09:06:17;2;;;"3";3;2;2;2;1;1;1;1;1;1;1;1;1;;1;1;2;1;1;1;3;4;5;5;4;3;5;5;2;6;6;4;2;1;3;5;5;6;5;3;1;1;1;2;1;1;;1;1;2;1;1;2;2;1;1;1;1;;3;2;2;2;1;;-1;;2;1;1;1;1;2;2;-1;1;1;1;1;1;1;1;1;;2;6;5;5;5;4;3;4;1;2;2;1;1;1;1;2;1;1;;"publish the code with easy to use licenses.";18;60;34;193;146;88;539;;2021-03-02 09:15:16;1;0;6;6;0;0;1.14;9
